,Unnamed: 0,Unnamed: 1,Name,Name.1,Time,Speed,Power,VAM,HR,Unnamed: 9
0,★,,Chalonvillars-Genéchier (BM)  1.15km  22m  2%,,2:52,24.3km/h,203W,,—,Hide
1,★,,Challonvillars-Chagey cc  4.84km  54m  -1%,,9:18,31.3km/h,156W,,—,Hide
2,★,,petite bosse de genechier  0.45km  22m  5%,,1:54,14.4km/h,130W,,—,Hide
3,★,,CLM Chagey-Chenebier (BM)  4.11km  16m  0%,,8:20,29.6km/h,147W,,—,Hide
4,★,,Montée Etang de la Forge  0.38km  12m  3%,,1:04,21.8km/h,143W,,—,Hide
5,★,,Climb Grand rue Chenebier  0.27km  14m  5%,,1:00,16.5km/h,242W,,—,Hide
6,★,,Trail addict_climb_Chenebier_Etobon  2.70km  77m  3%,,7:16,22.3km/h,186W,,—,Hide
7,★,,Sortie Chenebier  0.51km  31m  6%,,1:52,16.4km/h,226W,,—,Hide
8,★,,etobon vers le ban  1.22km  55m  4%,,4:08,17.8km/h,189W,,—,Hide
9,★,,Etobon to National  3.74km  56m  1%,,9:48,22.9km/h,137W,,—,Hide
10,★,,Route d'Auxelles D12 (FF)  3.91km  97m  2%,,12:24,19.0km/h,140W,,—,Hide
11,★,,Sortie Plancher Bas -> Auxelle  0.32km  7m  2%,,1:00,19.2km/h,116W,,—,Hide
12,★,,Auxelles-Bas (intégrale)  1.27km  64m  5%,,5:24,14.2km/h,163W,,—,Hide
13,★,,Auxelles Haut par Auxelles Bas  2.25km  85m  4%,,7:32,18.0km/h,165W,677.0,—,Hide
14,★,,Climb Vescemont par Giro  1.57km  30m  2%,,4:04,23.2km/h,146W,,—,Hide
15,★,,Rougegoutte--Grosmagny  2.79km  38m  1%,,7:20,22.9km/h,125W,,—,Hide
16,★,,Petitmagny par Grosmagny  1.86km  68m  4%,,6:16,17.8km/h,151W,,—,Hide
17,★,,montée Rougegoutte - Grosmagny  0.95km  35m  4%,,3:24,16.9km/h,146W,,—,Hide
18,★,,montée de Petitmagny depuis Grosmagny  0.66km  26m  4%,,2:20,17.1km/h,166W,,—,Hide
19,★,,Etueffont Eloie  4.13km  59m  0%,,8:32,29.0km/h,157W,,—,Hide
20,★,,Grimpette sortie Etueffont vers Eloie  1.26km  24m  2%,,3:40,20.7km/h,204W,,—,Hide
21,★,,Pt Eloie - Rd Pt Valdoie  1.73km  12m  0%,,2:48,37.2km/h,164W,,—,Hide
22,★,,Valdoie-Techn'hom  1.83km  4m  0%,,3:28,31.7km/h,173W,,—,Hide
23,★,,Science et industrie/Juin  1.50km  8m  0%,,3:30,25.8km/h,123W,,—,Hide
